horizon,mindepth,maxdepth,texture,bd,gravel,sand ,silt,clay,c_org,rel_rootlength_density
 L,0.035,0.018,Org,,,,,,52.58,0
 Of,0.018,0.003,Org,,,,,,50.41,0.148
 Oh,0.003,0,Org,,,,,,41.22,0.213
I Ah,0,-0.01,Lu,1,6,26,57,17,9.55,0.0138
I Aeh,-0.01,-0.03,Lu,1.1,6,26,57,17,6.62,0.0135
I Aeh,-0.03,-0.05,Lu,1.1,6,26,57,17,6.62,0.0135
I Aeh,-0.05,-0.08,Lu,1.1,6,26,57,17,6.62,0.0135
I (Bv)Sw-Bv,-0.08,-0.12,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.12,-0.16,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.16,-0.2,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.25,-0.3,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.3,-0.4,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.4,-0.5,Lu,1.4,4,30,51,19,1.25,0.0087
I (Bv)Sw-Bv,-0.5,-0.6,Lu,1.4,4,30,51,19,1.25,0.0087
I;II (Sd-Bv)Btv,-0.6,-0.7,Ls2,1.55,18,29,49,23,0.28,0.0048
I;II (Sd-Bv)Btv,-0.7,-0.85,Ls2,1.55,18,29,49,23,0.28,0.0048
II (Sd-Bv)Btv,-0.85,-1,Ls3,1.79,38,45,37,20,0.69,0.0058
II (Sd-Bv)Btv,-1,-1.2,Ls3,1.79,38,45,37,20,0.69,0.0058
II (Sd-Bv)Btv,-1.2,-1.4,Ls3,1.79,38,45,37,20,0.69,0.0058
II;III Cv,-1.4,-1.5,Sl4,1.88,65,53,32,16,0.51,0
III Cv,-1.5,-1.8,Sl4,1.97,90,53,32,16,0.51,0
